"","X","UNICODE","codeLoc","LATITUDE","LONGITUDE","check","recent_insp","condition","probability","uncertainty","recentinsp","not_sprayed","group_num","order","color"
"465",465,"1.8.10.137","1.8.10",-16.4470202,-71.52085156,0,"2007-04-24",1,0.0783519099589014,0.144328981260399,12,0,7,6,"gray"
"366",366,"1.8.10.145","1.8.10",-16.44699628,-71.52110146,0,"2007-04-23",1,0.0777825394204117,0.143305007093362,11,0,7,7,"gray"
"364",364,"1.8.10.143","1.8.10",-16.44685615,-71.52114521,0,"2007-04-18",1,0.074408825113224,0.136562487778238,9,0,7,8,"gray"
"367",367,"1.8.10.146","1.8.10",-16.44707595,-71.52106959,0,"2007-04-23",1,0.0737732285579396,0.135304142704843,11,0,7,9,"gray"
"365",365,"1.8.10.144","1.8.10",-16.44691617,-71.52112808,0,"2007-04-18",1,0.07359648874792,0.134999816503025,9,0,7,10,"gray"
"400",400,"1.8.10.135","1.8.10",-16.44708079,-71.52074965,0,"2007-04-18",1,0.0722791898211312,0.133584911967486,9,0,7,11,"gray"
"401",401,"1.8.10.136","1.8.10",-16.44709605,-71.52082734,0,"2007-04-19",1,0.0719866632464543,0.132868177716387,10,0,7,12,"gray"
"447",447,"1.8.10.5","1.8.10",-16.44649706,-71.51878938,0,NA,0,0.135249110444425,0.197952035549953,12,1,8,1,"blue"
"253",253,"1.8.10.78","1.8.10",-16.44643989,-71.51897434,0,"2007-04-12",2,0.0907471464850925,0.161276381929515,5,0,8,2,"gray"
"245",245,"1.8.10.65","1.8.10",-16.44656327,-71.51898363,0,"2007-04-11",2,0.087275440663843,0.154749732913072,4,0,8,3,"gray"
"243",243,"1.8.10.3","1.8.10",-16.44627876,-71.51878215,0,"2007-04-13",2,0.0856734457912252,0.154063868836848,6,0,8,4,"gray"
"252",252,"1.8.10.77","1.8.10",-16.44635061,-71.51896962,0,"2007-04-12",1,0.0847411062182062,0.152339326631382,5,0,8,5,"gray"
"266",266,"1.8.10.4","1.8.10",-16.44638396,-71.51878276,0,"2007-04-10",1,0.0844613853916567,0.1527943249647,3,0,8,6,"gray"
"471",471,"1.8.10.66","1.8.10",-16.44655503,-71.51908113,0,"2007-04-16",1,0.0842572875308011,0.149474982200501,7,0,8,7,"gray"
"358",358,"1.8.10.68","1.8.10",-16.44642311,-71.51918391,0,"2007-04-11",1,0.0835272465746899,0.150354516654597,4,0,8,8,"gray"
"457",457,"1.8.10.67","1.8.10",-16.44653597,-71.51919053,0,"2007-04-12",2,0.0823049811962459,0.145900321349002,5,0,8,9,"gray"
"451",451,"1.8.10.6","1.8.10",-16.4466135,-71.51879682,0,"2007-04-18",1,0.0807813979363058,0.14835640077798,9,0,8,10,"gray"
"1081",1081,"1.8.5.26","1.8.5",-16.45342064,-71.51395722,0,NA,0,0.134051367570953,0.199118432706117,37,1,9,1,"blue"
"1034",1034,"1.8.5.40","1.8.5",-16.453228,-71.51387437,0,"2007-06-05",2,0.0928611774595986,0.164753746529412,26,0,9,2,"gray"
"832",832,"1.8.5.41","1.8.5",-16.45306686,-71.51381564,0,"2007-06-05",2,0.0905269216386889,0.15972622943818,26,0,9,3,"gray"
"835",835,"1.8.5.56","1.8.5",-16.45325526,-71.51379511,0,"2007-06-05",1,0.0807737964390273,0.144194063415824,26,0,9,4,"gray"
"805",805,"1.8.5.54","1.8.5",-16.45329701,-71.51362568,0,"2007-06-05",1,0.0799387917896041,0.145828439374093,26,0,9,5,"gray"
"764",764,"1.8.5.27","1.8.5",-16.45343403,-71.51383836,0,"2007-06-04",1,0.0784942883144459,0.143574847761765,25,0,9,6,"gray"
"765",765,"1.8.5.28","1.8.5",-16.45343386,-71.513766,0,"2007-06-04",2,0.0784479182364105,0.142898528027208,25,0,9,7,"gray"
"1049",1049,"1.8.5.29","1.8.5",-16.45345525,-71.51369837,0,"2007-06-04",1,0.0772437034184812,0.14155323013189,25,0,9,8,"gray"
"806",806,"1.8.5.55","1.8.5",-16.45327452,-71.51372315,0,"2007-06-05",1,0.0772130174093247,0.138886924437392,26,0,9,9,"gray"
"69",69,"1.8.3.20","1.8.3",-16.45091518,-71.50954876,0,NA,0,0.133760607479173,0.202161551033938,1,1,10,1,"blue"
"65",65,"1.8.3.17","1.8.3",-16.45113871,-71.50946675,0,NA,0,0.128261797562505,0.193412900409185,1,1,10,2,"gray"
"58",58,"1.8.3.10","1.8.3",-16.45112956,-71.50966436,0,NA,0,0.126540308663706,0.19063000703935,1,1,10,3,"gray"
"104",104,"1.8.3.9","1.8.3",-16.45103066,-71.50971876,0,NA,0,0.12566745894961,0.189204248741196,1,1,10,4,"gray"
"67",67,"1.8.3.19","1.8.3",-16.45101578,-71.50953467,0,NA,0,0.125072150511191,0.18821213349374,1,1,10,5,"gray"
"59",59,"1.8.3.11","1.8.3",-16.45119161,-71.50961881,0,NA,0,0.124581915377394,0.187421137855321,1,1,10,6,"gray"
"66",66,"1.8.3.18","1.8.3",-16.45107796,-71.50951237,0,NA,0,0.123960928882669,0.186385274521097,1,1,10,7,"gray"
"318",318,"1.8.9.60","1.8.9",-16.44998216,-71.51635603,0,NA,0,0.133605867316549,0.196508235975805,10,1,11,1,"blue"
"303",303,"1.8.9.31","1.8.9",-16.45000193,-71.51612588,0,"2007-04-10",2,0.0895046109432333,0.161462648288318,3,0,11,2,"gray"
"230",230,"1.8.9.30","1.8.9",-16.44992278,-71.51618725,0,"2007-04-19",1,0.0851950596919634,0.154071450782613,10,0,11,3,"gray"
"213",213,"1.8.9.57","1.8.9",-16.45020904,-71.51626335,0,"2007-04-10",2,0.0839104772859887,0.150231763933558,3,0,11,4,"gray"
"304",304,"1.8.9.32","1.8.9",-16.45013794,-71.51607812,0,"2007-04-10",2,0.0827133526692052,0.150576567963543,3,0,11,5,"gray"
"229",229,"1.8.9.29","1.8.9",-16.44985327,-71.51622773,0,"2007-04-10",1,0.0807117959470794,0.145386523662601,3,0,11,6,"gray"
"214",214,"1.8.9.59","1.8.9",-16.4500533,-71.51628551,0,"2007-04-11",1,0.0781879457491701,0.142350529172119,4,0,11,7,"gray"
"315",315,"1.8.9.56","1.8.9",-16.45027557,-71.5162191,0,"2018-11-06",2,0.0772818633249523,0.137395849540293,60,0,11,8,"gray"
"316",316,"1.8.9.58","1.8.9",-16.45013792,-71.51628035,0,"2007-04-11",1,0.0769011432874853,0.138341327018027,4,0,11,9,"gray"
"237",237,"1.8.9.54","1.8.9",-16.45037338,-71.51619391,0,"2007-04-11",2,0.076471385526309,0.137345017275192,4,0,11,10,"gray"
"238",238,"1.8.9.55","1.8.9",-16.4503213,-71.51620386,0,"2007-04-11",1,0.0753023600732019,0.134181498900674,4,0,11,11,"gray"
"210",210,"1.8.9.33","1.8.9",-16.45019746,-71.51605373,0,"2007-04-12",1,0.0738629923314807,0.135555216208311,5,0,11,12,"gray"
"1514",1514,"1.8.6.18","1.8.6",-16.44882424,-71.51481104,0,NA,0,0.1335389620749,0.202207259098557,51,1,12,1,"blue"
"1359",1359,"1.8.6.8","1.8.6",-16.44896522,-71.51493283,0,"2007-07-16",1,0.0852823405819723,0.158119304130151,42,0,12,2,"gray"
"1459",1459,"1.8.6.144","1.8.6",-16.44845662,-71.51494911,0,"2007-12-07",2,0.0768143795003678,0.137879542208653,50,0,12,3,"gray"
"1501",1501,"1.8.6.145","1.8.6",-16.44852987,-71.51499947,0,"2007-12-11",1,0.0734656275548317,0.134307032051899,52,0,12,4,"gray"
"1405",1405,"1.8.6.19","1.8.6",-16.44866364,-71.51474918,0,"2007-07-19",1,0.0726067980311272,0.136599954614017,51,0,12,5,"gray"
"1502",1502,"1.8.6.146","1.8.6",-16.44860395,-71.51504229,0,"2007-12-07",1,0.0721379563907924,0.13423831691002,50,0,12,6,"gray"
"1460",1460,"1.8.6.147","1.8.6",-16.44870513,-71.51508163,0,"2018-11-12",1,0.0718555537908098,0.135732927672984,64,0,12,7,"gray"
"1503",1503,"1.8.6.148","1.8.6",-16.44865389,-71.5151932,0,"2018-11-12",1,0.0678305328507933,0.127421523046165,64,0,12,8,"gray"
"1130",1130,"1.8.2.29","1.8.2",-16.45425668,-71.51291032,0,NA,0,0.133425100974164,0.196301224023551,42,1,13,1,"blue"
"1254",1254,"1.8.2.28","1.8.2",-16.45426916,-71.51297598,0,NA,0,0.128726918177151,0.188923893007579,42,1,13,2,"gray"
"1123",1123,"1.8.2.21","1.8.2",-16.45436436,-71.51274848,0,"2007-07-10",2,0.0843015528346733,0.15025312708128,40,0,13,3,"gray"
"1131",1131,"1.8.2.30","1.8.2",-16.45419593,-71.51288045,0,"2007-07-13",1,0.083797980641441,0.154354799495767,41,0,13,4,"gray"
"1160",1160,"1.8.2.21A","1.8.2",-16.45438043,-71.5127227,0,"2007-07-13",1,0.082498423733505,0.147239915603546,41,0,13,5,"gray"
"1122",1122,"1.8.2.20","1.8.2",-16.45443881,-71.5128186,0,"2007-07-13",2,0.0811454832623809,0.144668547572898,41,0,13,6,"gray"
"1365",1365,"1.8.2.19","1.8.2",-16.45448889,-71.51288926,0,"2007-01-29",1,0.0809820614132715,0.146068932442588,42,0,13,7,"gray"
"1212",1212,"1.8.2.18","1.8.2",-16.45454435,-71.51294735,0,"2007-07-10",1,0.0782691189291533,0.142504384286537,40,0,13,8,"gray"
"1129",1129,"1.8.2.27","1.8.2",-16.45434872,-71.51298992,0,"2007-07-13",1,0.0781321362586069,0.142231796289688,41,0,13,9,"gray"
"1128",1128,"1.8.2.26","1.8.2",-16.45436844,-71.5130741,0,"2007-07-13",1,0.0767531686621735,0.139613375386525,41,0,13,10,"gray"
"1389",1389,"1.8.6.57","1.8.6",-16.44839739,-71.51411073,0,NA,0,0.133040729259746,0.203573385561415,51,1,14,1,"blue"
"1382",1382,"1.8.6.48","1.8.6",-16.44859627,-71.51423672,0,NA,0,0.127264589415595,0.192859871635932,51,1,14,2,"gray"
"1410",1410,"1.8.6.24","1.8.6",-16.4487493,-71.5143134,0,"2007-12-05",2,0.0871470387918437,0.158799486622763,48,0,14,3,"gray"
"1411",1411,"1.8.6.26","1.8.6",-16.44884244,-71.51408903,0,"2007-12-05",1,0.0786232109773171,0.149347544746877,48,0,14,4,"gray"
"1381",1381,"1.8.6.47","1.8.6",-16.44862995,-71.51413485,0,"2007-07-25",1,0.0777038341446092,0.146586407628597,45,0,14,5,"gray"
"1409",1409,"1.8.6.23","1.8.6",-16.44870428,-71.51441773,0,"2007-12-05",1,0.0732026655726003,0.134568244971481,48,0,14,6,"gray"
"1408",1408,"1.8.6.22","1.8.6",-16.44866829,-71.51449278,0,"2007-12-07",1,0.071799547353945,0.133320305593877,50,0,14,7,"gray"
"1544",1544,"1.8.6.27","1.8.6",-16.44887292,-71.51398752,0,"2008-04-11",1,0.0708444538332247,0.13471865358292,53,0,14,8,"gray"
